2022-12-29 11:16:18,901 INFO    MainThread:3470413 [wandb_setup.py:_flush():68] Configure stats pid to 3470413
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_setup.py:_flush():68] Loading settings from /home/kc/.config/wandb/settings
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_setup.py:_flush():68] Loading settings from /home/kc/tritd/ResNet/wandb/settings
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train_fully.py', 'program': '/home/kc/tritd/ResNet/train_fully.py'}
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_init.py:_log_setup():476] Logging user logs to /home/kc/tritd/ResNet/wandb/run-20221229_111618-28royka9/logs/debug.log
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_init.py:_log_setup():477] Logging internal logs to /home/kc/tritd/ResNet/wandb/run-20221229_111618-28royka9/logs/debug-internal.log
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_init.py:init():516] calling init triggers
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'batch_size': 16, 'max_iter': 80000, 'model': 'DeeplabV3+', 'device': 'cuda:1'}
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_init.py:init():569] starting backend
2022-12-29 11:16:18,902 INFO    MainThread:3470413 [wandb_init.py:init():573] setting up manager
2022-12-29 11:16:18,907 INFO    MainThread:3470413 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-29 11:16:18,917 INFO    MainThread:3470413 [wandb_init.py:init():580] backend started and connected
2022-12-29 11:16:18,919 INFO    MainThread:3470413 [wandb_init.py:init():658] updated telemetry
2022-12-29 11:16:18,956 INFO    MainThread:3470413 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-29 11:16:19,627 INFO    MainThread:3470413 [wandb_run.py:_on_init():2006] communicating current version
2022-12-29 11:16:19,920 INFO    MainThread:3470413 [wandb_run.py:_on_init():2010] got version response 
2022-12-29 11:16:19,920 INFO    MainThread:3470413 [wandb_init.py:init():728] starting run threads in backend
2022-12-29 11:16:21,924 INFO    MainThread:3470413 [wandb_run.py:_console_start():1986] atexit reg
2022-12-29 11:16:21,925 INFO    MainThread:3470413 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-29 11:16:21,925 INFO    MainThread:3470413 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-29 11:16:21,925 INFO    MainThread:3470413 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-29 11:16:21,926 INFO    MainThread:3470413 [wandb_init.py:init():765] run started, returning control to user process
2022-12-29 11:16:33,739 WARNING MsgRouterThr:3470413 [router.py:message_loop():77] message_loop has been closed
